x,y,z
3.968484986,138.5737107,0
23.76281376,128.6144912,0
17.1422038,186.6187821,0
25.27328979,156.538942,0
16.27771005,154.439002,0
50.22507679,187.6282046,0
73.05108539,161.8329536,0
55.70995126,158.6473567,0
66.42148711,136.0809323,0
64.72300153,160.6880421,0
94.12798008,200.7519802,0
114.7918106,152.8687461,0
105.1026594,200.9038606,0
99.27371008,149.2664463,0
98.07478341,161.0351656,0
98.04112801,168.0915372,0
121.6035584,174.5845747,0
85.6963089,129.2115714,0
71.25496528,118.0668023,0
59.02938986,139.3150808,0
43.35938097,122.5738739,0
17.25304374,92.71986849,0
28.61652695,131.3428019,0
72.22492891,104.8834429,0
19.586396,116.1914604,0
56.04032731,99.5412794,0
38.62193517,133.7005016,0
11.37526115,97.29247783,0
27.88347389,92.93368514,0
10.65734477,205.7242067,0
69.63442162,201.6372691,0
57.88938892,225.551568,0
55.99488658,137.7782199,0
63.73376742,181.5035123,0
55.29461867,182.9019786,0
83.00041155,177.1269941,0
60.78999335,231.3217735,0
99.79961792,162.22705,0
59.69012387,172.6009747,0
107.0438579,150.9526401,0
109.8624469,97.70268964,0
69.59796492,87.33010362,0
105.4882285,103.659892,0
99.82015398,84.60376985,0
89.96088501,89.30116268,0
49.98227471,104.3318446,0
23.8843608,92.75963322,0
88.30391394,42.26182876,0
14.24001858,125.2642725,0
33.63358839,138.5883198,0
55.47651783,110.3051519,0
41.81247019,143.820152,0
5.01354332,148.3425476,0
38.29544498,111.5280821,0
39.74306614,132.0026792,0
55.49323716,143.5749545,0
73.80328494,154.1892632,0
74.44854801,171.2626901,0
13.51212903,115.6426457,0
66.8695899,128.9424221,0
103.2502855,147.5815814,0
87.13635707,184.9230973,0
70.27006656,75.24832367,0
120.1350363,84.15216506,0
114.0456781,118.8133052,0
103.9648166,111.9696523,0
107.4497818,84.65931644,0
88.71095647,83.02230899,0
61.67435134,95.32872217,0
73.14788451,64.32555038,0
57.3214487,96.2746249,0
115.9566926,14.37885735,0
80.37479015,54.15247053,0
52.51966295,51.38073821,0
71.84169525,97.33351581,0
39.71131989,81.59557033,0
31.59950899,93.60997437,0
59.21310488,90.17538455,0
